Iteracion	Magnetizacion	Energia
57100	-0.019531	-1.496094
57200	-0.003906	-1.507812
57300	0.003906	-1.515625
57400	-0.005859	-1.515625
57500	-0.011719	-1.503906
57600	-0.019531	-1.515625
57700	-0.033203	-1.511719
57800	-0.037109	-1.515625
57900	-0.048828	-1.488281
58000	-0.042969	-1.457031
58100	-0.041016	-1.453125
58200	-0.044922	-1.441406
58300	-0.046875	-1.441406
58400	-0.048828	-1.464844
58500	-0.056641	-1.449219
58600	-0.060547	-1.425781
58700	-0.066406	-1.417969
58800	-0.068359	-1.433594
58900	-0.068359	-1.460938
59000	-0.072266	-1.453125
59100	-0.058594	-1.441406
59200	-0.058594	-1.437500
59300	-0.060547	-1.453125
59400	-0.062500	-1.437500
59500	-0.054688	-1.441406
59600	-0.050781	-1.441406
59700	-0.058594	-1.449219
59800	-0.060547	-1.429688
59900	-0.058594	-1.441406
60000	-0.062500	-1.406250
60100	-0.062500	-1.402344
60200	-0.058594	-1.398438
60300	-0.054688	-1.402344
60400	-0.046875	-1.417969
60500	-0.044922	-1.441406
60600	-0.054688	-1.449219
60700	-0.031250	-1.480469
60800	-0.042969	-1.488281
60900	-0.037109	-1.464844
61000	-0.033203	-1.496094
61100	-0.029297	-1.515625
61200	-0.023438	-1.507812
61300	-0.029297	-1.515625
61400	-0.039062	-1.527344
61500	-0.033203	-1.503906
61600	-0.035156	-1.476562
61700	-0.025391	-1.464844
61800	-0.021484	-1.484375
61900	-0.015625	-1.496094
62000	-0.007812	-1.496094
62100	-0.003906	-1.480469
62200	-0.003906	-1.503906
62300	0.000000	-1.492188
62400	0.001953	-1.480469
62500	0.007812	-1.468750
62600	0.007812	-1.449219
62700	0.007812	-1.441406
62800	0.005859	-1.464844
62900	0.011719	-1.472656
63000	0.001953	-1.460938
63100	0.007812	-1.414062
63200	0.003906	-1.437500
63300	0.015625	-1.437500
63400	0.019531	-1.429688
63500	0.029297	-1.437500
63600	0.029297	-1.437500
63700	0.029297	-1.441406
63800	0.021484	-1.453125
63900	0.029297	-1.445312
64000	0.039062	-1.421875
64100	0.042969	-1.433594
64200	0.042969	-1.425781
64300	0.042969	-1.429688
64400	0.041016	-1.460938
64500	0.041016	-1.480469
64600	0.050781	-1.472656
64700	0.044922	-1.480469
64800	0.044922	-1.480469
64900	0.046875	-1.476562
65000	0.044922	-1.492188
